"Region","Year","Age Range","Perception of Great Risk of Drug Use","Measure Type","Variable","Value"
"Northwestern Region","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.91
"Northwestern Region","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",70.19
"Northwestern Region","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.9
"Northwestern Region","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",30.32
"Northwestern Region","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.09
"Northwestern Region","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",12.5
"Northwestern Region","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.52
"Northwestern Region","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",68.69
"Northwestern Region","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.93
"Northwestern Region","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",42.49
"Northwestern Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.78
"Northwestern Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",27.33
"Northwestern Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.24
"Northwestern Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.75
"Northwestern Region","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.28
"Northwestern Region","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",44.19
"Northwestern Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.16
"Northwestern Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",29.41
"Northwestern Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.52
"Northwestern Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.59
"South Central Region","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.83
"South Central Region","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",35.65
"South Central Region","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.17
"South Central Region","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",29.25
"South Central Region","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.59
"South Central Region","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",70.13
"South Central Region","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.23
"South Central Region","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",29.57
"South Central Region","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.4
"South Central Region","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",17.86
"South Central Region","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.02
"South Central Region","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.45
"South Central Region","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.77
"South Central Region","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.41
"South Central Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4
"South Central Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",33.72
"South Central Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.9
"South Central Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",77.92
"South Central Region","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.27
"South Central Region","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.98
"South Central Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.52
"South Central Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",36.26
"South Central Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.24
"South Central Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",78.79
"South Central Region","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.84
"South Central Region","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",37.9
"South Central Region","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.79
"South Central Region","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",29.07
"South Central Region","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.45
"South Central Region","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.07
"South Central Region","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.08
"South Central Region","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",29.1
"South Central Region","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.13
"South Central Region","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",17.73
"South Central Region","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.74
"South Central Region","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.02
"South Central Region","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.37
"South Central Region","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.21
"South Central Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.74
"South Central Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",35.56
"South Central Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.56
"South Central Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",79.32
"South Central Region","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.79
"South Central Region","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.84
"South Central Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.22
"South Central Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",38.42
"South Central Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.86
"South Central Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",80.17
"South Central Region","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.29
"South Central Region","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",38.74
"South Central Region","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.97
"South Central Region","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",25.14
"South Central Region","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.97
"South Central Region","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.98
"South Central Region","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.91
"South Central Region","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",33.71
"South Central Region","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.03
"South Central Region","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",15.49
"South Central Region","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.64
"South Central Region","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.71
"South Central Region","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.97
"South Central Region","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.51
"South Central Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.28
"South Central Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",31.56
"South Central Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.99
"South Central Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.22
"South Central Region","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.51
"South Central Region","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.61
"South Central Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.8
"South Central Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",34.18
"South Central Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.42
"South Central Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.12
"South Central Region","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.27
"South Central Region","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",38.03
"South Central Region","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.98
"South Central Region","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",22.03
"South Central Region","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.89
"South Central Region","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",68.88
"South Central Region","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.85
"South Central Region","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",31.03
"South Central Region","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.75
"South Central Region","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",13.44
"South Central Region","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.06
"South Central Region","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",68.26
"South Central Region","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.02
"South Central Region","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",43.05
"South Central Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4
"South Central Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",28.3
"South Central Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.07
"South Central Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.62
"South Central Region","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.5
"South Central Region","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",45
"South Central Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.5
"South Central Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",30.73
"South Central Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.42
"South Central Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",77.98
"South Central Region","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.18
"South Central Region","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.19
"South Central Region","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.88
"South Central Region","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",23.49
"South Central Region","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.99
"South Central Region","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",68.48
"South Central Region","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.44
"South Central Region","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",29.45
"South Central Region","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",2.56
"South Central Region","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",10.77
"South Central Region","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.1
"South Central Region","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.46
"South Central Region","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.57
"South Central Region","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.97
"South Central Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.36
"South Central Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",24.27
"South Central Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.99
"South Central Region","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.56
"South Central Region","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.96
"South Central Region","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",42.87
"South Central Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.79
"South Central Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",26.51
"South Central Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.28
"South Central Region","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.39
"Southwest Region","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.2
"Southwest Region","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",35.84
"Southwest Region","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.65
"Southwest Region","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",29.76
"Southwest Region","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.7
"Southwest Region","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",70.88
"Southwest Region","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.78
"Southwest Region","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",34.52
"Southwest Region","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.15
"Southwest Region","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",22.96
"Southwest Region","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.37
"Southwest Region","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",73.28
"Southwest Region","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.28
"Southwest Region","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.78
"Southwest Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.46
"Southwest Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",33.44
"Southwest Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.18
"Southwest Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",77.74
"Southwest Region","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.76
"Southwest Region","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.63
"Southwest Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.94
"Southwest Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",34.87
"Southwest Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.52
"Southwest Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",78.34
"Southwest Region","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.79
"Southwest Region","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",35.48
"Southwest Region","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.31
"Southwest Region","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",29.16
"Southwest Region","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.38
"Southwest Region","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.99
"Southwest Region","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.65
"Southwest Region","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",34.24
"Southwest Region","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.85
"Southwest Region","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",21.56
"Southwest Region","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.81
"Southwest Region","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.83
"Southwest Region","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.86
"Southwest Region","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.81
"Southwest Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.42
"Southwest Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",36.93
"Southwest Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.69
"Southwest Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",80.5
"Southwest Region","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.23
"Southwest Region","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",42.84
"Southwest Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.87
"Southwest Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",39.03
"Southwest Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",2.95
"Southwest Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",81.14
"Southwest Region","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.45
"Southwest Region","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.12
"Southwest Region","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.19
"Southwest Region","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",25.22
"Southwest Region","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.89
